Azul,Laranja,Azul,Azul,Roxo,Roxo,Verde,Azul,Verde,Vermelho,Vermelho,Amarelo,Azul
Amarelo,Verde,Verde,Verde,Laranja,Amarelo,Amarelo,Verde,Vermelho,Roxo,Laranja,Verde,Verde
Verde,Laranja,Roxo,Roxo,Roxo,Amarelo,Verde,Roxo,Amarelo,Azul,Verde,Laranja,Roxo
Verde,Roxo,Laranja,Verde,Verde,Laranja,Verde,Verde,Vermelho,Vermelho,Azul,Roxo,Laranja
Roxo,Vermelho,Laranja,Azul,Amarelo,Vermelho,Amarelo,Vermelho,Amarelo,Roxo,Verde,Verde,Azul
Verde,Vermelho,Amarelo,Azul,Azul,Amarelo,Laranja,Roxo,Amarelo,Azul,Vermelho,Vermelho,Azul
Amarelo,Azul,Azul,Vermelho,Azul,Laranja,Verde,Amarelo,Roxo,Amarelo,Amarelo,Verde,Amarelo
Vermelho,Vermelho,Amarelo,Azul,Azul,Amarelo,Vermelho,Azul,Roxo,Verde,Azul,Roxo,Vermelho
Vermelho,Amarelo,Amarelo,Laranja,Roxo,Laranja,Verde,Roxo,Verde,Laranja,Amarelo,Laranja,Roxo
Verde,Azul,Verde,Laranja,Verde,Roxo,Vermelho,Laranja,Vermelho,Laranja,Amarelo,Laranja,Laranja
Azul,Azul,Azul,Vermelho,Amarelo,Azul,Amarelo,Roxo,Laranja,Vermelho,Azul,Vermelho,Laranja
Amarelo,Verde,Verde,Azul,Roxo,Amarelo,Verde,Vermelho,Azul,Azul,Azul,Amarelo,Azul
Amarelo,Verde,Amarelo,Laranja,Azul,Vermelho,Amarelo,Laranja,Vermelho,Verde,Amarelo,Vermelho,Vermelho